市場,股票代號,英文名稱,原文名稱,中文名稱,信心,備註,成交值排行,市值排行
日股,6861,Keyence Corporation,株式会社キーエンス,基恩斯,中,台灣子公司為台灣基恩斯；鉅亨網作KEYENCE株式會社，台媒亦常直接寫KEYENCE；中國譯基恩士,29,13
日股,8001,Itochu Corporation,伊藤忠商事株式会社,伊藤忠商事,高,台媒常簡稱「伊藤忠」,50,14
日股,8058,Mitsubishi Corporation,三菱商事株式会社,三菱商事,高,,35,15
日股,6146,Disco Corporation,株式会社ディスコ,迪思科,高,鉅亨網用「迪思科」，台灣子公司為迪思科高科技；科技新報等亦直接寫 DISCO,16,45
日股,8766,"Tokio Marine Holdings, Inc.",東京海上ホールディングス株式会社,東京海上控股,高,,27,16
日股,9432,NTT Inc,NTT株式会社（原：日本電信電話株式会社）,NTT,高,2025年7月正式商號由日本電信電話改為NTT；台媒寫NTT，或加註日本電信電話,26,17
日股,8031,"Mitsui & Co.,Ltd",三井物産株式会社,三井物產,高,,39,18
日股,5801,"Furukawa Electric Co., Ltd.",古河電気工業株式会社,古河電工,高,全名古河電氣工業,19,95
日股,7011,"Mitsubishi Heavy Industries, Ltd.",三菱重工業株式会社,三菱重工,高,,20,20
日股,6920,Lasertec Corp.,レーザーテック株式会社,Lasertec,高,鉅亨網、工商時報、MoneyDJ 皆直接寫 Lasertec，無通行中文譯名,21,85
日股,2914,Japan Tobacco Inc.,日本たばこ産業株式会社,日本菸草,高,台媒亦常用簡稱「JT」,62,21
日股,5411,"JFE Holdings, Inc.",JFEホールディングス株式会社,JFE控股,高,,22,
日股,7182,"Japan Post Bank Co., Ltd.",株式会社ゆうちょ銀行,日本郵政銀行,高,日文商號為平假名ゆうちょ銀行，台媒統一譯日本郵政銀行,49,22
日股,7974,"Nintendo Co., Ltd.",任天堂株式会社,任天堂,高,,23,28
日股,6503,Mitsubishi Electric Corp.,三菱電機株式会社,三菱電機,高,,42,23
日股,5016,JX Advanced Metals Corporation,JX金属株式会社,JX金屬,中,日文商號仍為JX金属，2025年英文名改為JX Advanced Metals；台媒多寫JX金屬或JX Advanced Metals,24,78
日股,4063,"Shin-Etsu Chemical Co., Ltd.",信越化学工業株式会社,信越化學工業,高,台媒常簡稱「信越化學」,43,24
日股,4519,"Chugai Pharmaceutical Co., Ltd.",中外製薬株式会社,中外製藥,高,,83,25
日股,9434,SoftBank Corp.,ソフトバンク株式会社,軟銀公司,高,電信本業公司，須與母公司「軟銀集團」（9984 SoftBank Group）區分,84,26
日股,9433,KDDI Corporation,KDDI株式会社,KDDI,高,無通用中譯，台媒直接寫 KDDI（日本第二大電信）,55,27
日股,9024,"Seibu Holdings, Inc.",株式会社西武ホールディングス,西武控股,高,,28,
日股,6752,Panasonic Holdings Corporation,パナソニックホールディングス株式会社,Panasonic控股,中,台媒多直接寫 Panasonic；舊稱松下電器，2008年正名為Panasonic，中國稱松下控股,37,29
日股,3103,Unitika Ltd.,ユニチカ株式会社,尤尼吉可,中,尤尼吉可為公司官方中文名；台灣財經媒體少見，多直接寫 Unitika,30,
日股,5802,"Sumitomo Electric Industries, Ltd.",住友電気工業株式会社,住友電工,高,全名住友電氣工業,31,37
日股,4502,Takeda Pharmaceutical Co. Ltd.,武田薬品工業株式会社,武田藥品工業,高,台媒常簡稱「武田藥品」,38,31
日股,7741,HOYA CORPORATION,HOYA株式会社,HOYA,高,台灣財經媒體直接寫英文原名 HOYA；眼鏡鏡片業界稱「豪雅」,32,33
日股,8053,Sumitomo Corporation,住友商事株式会社,住友商事,高,,66,32
日股,6178,"JAPAN POST HOLDINGS Co., Ltd.",日本郵政株式会社,日本郵政,高,,33,38
日股,6367,"DAIKIN INDUSTRIES, LTD.",ダイキン工業株式会社,大金工業,高,台媒常簡稱「大金」,34,48
日股,8002,Marubeni Corporation,丸紅株式会社,丸紅,高,,36,34
日股,8725,"MS&AD Insurance Group Holdings, Inc.",MS&ADインシュアランスグループホールディングス株式会社,MS&AD保險集團控股,中,台媒多直接寫 MS&AD，旗下為三井住友海上,71,35
日股,8015,Toyota Tsusho Corp.,豊田通商株式会社,豐田通商,高,,91,36
日股,6702,Fujitsu Limited,富士通株式会社,富士通,高,,56,39
日股,4503,Astellas Pharma Inc.,アステラス製薬株式会社,安斯泰來製藥,高,台灣子公司為台灣安斯泰來製藥,40,67
日股,6301,Komatsu Ltd.,株式会社小松製作所,小松製作所,高,台媒亦常寫「小松」或 Komatsu,64,40
日股,5706,"Mitsui Kinzoku Co., Ltd.",三井金属鉱業株式会社,三井金屬礦業,高,鉅亨網個股名稱即「三井金屬礦業」,41,
日股,6701,NEC Corporation,日本電気株式会社,NEC,高,日文正式商號為「日本電氣」，但台灣財經媒體（鉅亨、MoneyDJ）一律直接寫 NEC,51,41
日股,8750,Daiichi Life Group. Inc.,株式会社第一ライフグループ,第一生命集團,中,2026年4月由「第一生命ホールディングス（第一生命控股）」更名；台媒目前仍多沿用「第一生命」或「第一生命控股」,67,42
日股,7267,"Honda Motor Co., Ltd.",本田技研工業株式会社,本田汽車,高,台媒常寫「本田」或直接用 Honda,46,43
日股,6723,Renesas Electronics Corporation,ルネサスエレクトロニクス株式会社,瑞薩電子,高,鉅亨網、MoneyDJ 均用「瑞薩電子」,44,49
日股,8591,ORIX Corporation,オリックス株式会社,歐力士,高,台灣有歐力士租賃／歐力士租車，台媒統一用「歐力士」,63,44
日股,5713,"Sumitomo Metal Mining Co., Ltd.",住友金属鉱山株式会社,住友金屬礦山,高,,45,83
日股,4578,"Otsuka Holdings Co., Ltd.",大塚ホールディングス株式会社,大塚控股,高,,93,46
日股,4004,Resonac Holdings Corporation,株式会社レゾナック・ホールディングス,力森諾科控股,中,舊名昭和電工，2023年更名；台灣子公司為台灣力森諾科，台灣財經媒體亦常直接寫 Resonac,47,87
日股,8630,"Sompo Holdings,Inc.",SOMPOホールディングス株式会社,損保控股,高,MoneyDJ作「損保控股株式會社」；台媒亦常直接寫SOMPO控股。鉅亨網個股頁仍用舊名「NKSJ控股」,,47
日股,6326,Kubota Corporation,株式会社クボタ,久保田,高,台灣代理商為新臺灣久保田；商號現為片假名クボタ,48,81
日股,6762,TDK Corporation,TDK株式会社,TDK,高,無中譯，台媒直接寫 TDK；台灣子公司名為「台灣東電化」,69,50
日股,8308,"Resona Holdings, Inc.",株式会社りそなホールディングス,里索那控股,中,台媒常直接寫 Resona；中文維基與該行中文網頁用「里索那」,82,51
日股,3436,SUMCO Corporation,株式会社SUMCO,SUMCO,高,無中譯，台媒直接寫 SUMCO（全球第二大矽晶圓廠）,52,
日股,6954,Fanuc Corporation,ファナック株式会社,發那科,高,鉅亨網作「發那科」；MoneyDJ 多直接寫 Fanuc,53,53
日股,9503,"Kansai Electric Power Company, Incorporated",関西電力株式会社,關西電力,高,,54,94
日股,4568,"Daiichi Sankyo Company, Limited",第一三共株式会社,第一三共,高,,68,54
日股,6902,DENSO CORPORATION,株式会社デンソー,電裝,高,鉅亨網作「電裝公司」；台灣子公司名為「台灣電綜」,89,55
日股,5108,Bridgestone Corporation,株式会社ブリヂストン,普利司通,高,鉅亨網、經濟日報、自由財經皆用「普利司通」；在台子公司為台灣普利司通,,56
日股,9101,Nippon Yusen Kabushiki Kaisha,日本郵船株式会社,日本郵船,高,,57,93
日股,2802,"Ajinomoto Co., Inc.",味の素株式会社,味之素,高,科技新報、MoneyDJ、台視財經均用「味之素」（ABF載板材料供應商）,,57
日股,7012,Kawasaki Heavy Industries Ltd.,川崎重工業株式会社,川崎重工,高,正式商號為川崎重工業，台媒慣稱川崎重工,58,
日股,8309,"Sumitomo Mitsui Trust Group, Inc.",三井住友トラストグループ株式会社,三井住友信託集團,中,2024年10月由「三井住友トラスト・ホールディングス（三井住友信託控股）」更名,74,58
日股,7013,IHI Corporation,株式会社IHI,IHI,高,2007年由「石川島播磨重工業」更名，台媒直接寫 IHI,59,90
日股,4661,"Oriental Land Co., Ltd.",株式会社オリエンタルランド,東方樂園,高,鉅亨網作「東方樂園株式會社－東京迪士尼樂園營運商」,,59
日股,6273,SMC Corporation,SMC株式会社,SMC,高,台灣子公司名為「速睦喜」，但財經媒體直接寫 SMC（氣動元件龍頭）,60,66
日股,6971,Kyocera Corporation,京セラ株式会社,京瓷,高,鉅亨網作「京瓷株式會社」,100,60
日股,5401,NIPPON STEEL CORP.,日本製鉄株式会社,日本製鐵,高,,61,77
日股,8604,"Nomura Holdings, Inc.",野村ホールディングス株式会社,野村控股,高,鉅亨網、MoneyDJ、經濟日報一致用「野村控股」,,61
日股,1605,Inpex Corporation,株式会社INPEX,INPEX,高,2021年由「國際石油開發帝石」更名，台媒直接寫 INPEX,78,62
日股,3382,"Seven & I Holdings Co., Ltd.",株式会社セブン＆アイ・ホールディングス,7&I控股,中,鉅亨網作「7&I控股」；台媒亦常寫 Seven & i 或「7-11母公司」。曾規劃更名為 Seven-Eleven Corporation，2025年股東會延後,81,63
日股,8802,"Mitsubishi Estate Company, Limited",三菱地所株式会社,三菱地所,高,,80,64
日股,9104,"Mitsui O.S.K.Lines,Ltd.",株式会社商船三井,商船三井,高,,65,97
日股,7751,Canon Inc.,キヤノン株式会社,佳能,高,日文商號的「ヤ」為大寫，非拗音,75,65
日股,7269,Suzuki Motor Corp.,スズキ株式会社,鈴木汽車,高,日文正式商號為片假名「スズキ」，台媒沿用漢字「鈴木」,86,68
日股,8801,"Mitsui Fudosan Co., Ltd.",三井不動産株式会社,三井不動產,高,,87,69
日股,7735,"SCREEN Holdings Co., Ltd",株式会社SCREENホールディングス,SCREEN Holdings,中,台媒（MoneyDJ、鉅亨）多直接寫 Screen／SCREEN；舊名「大日本網屏製造」，台灣子公司稱「迪恩士」,70,99
日股,9020,East Japan Railway Company,東日本旅客鉄道株式会社,東日本旅客鐵道,高,日本漢字商號直接沿用；台媒多簡稱JR東日本,,70
日股,4901,FUJIFILM Holdings Corp,富士フイルムホールディングス株式会社,富士軟片控股,高,日文商號「フイルム」為大寫イ,77,71
日股,7936,Asics Corporation,株式会社アシックス,亞瑟士,高,台灣官方名稱即「台灣亞瑟士」,72,82
日股,8267,"AEON Co., Ltd.",イオン株式会社,永旺,高,鉅亨網作「永旺株式會社－亞洲最大零售商」；日常報導常直接寫AEON,,72
日股,8136,Sanrio Co. Ltd.,株式会社サンリオ,三麗鷗,高,鉅亨網作「三麗鷗株式會社」,73,
日股,9022,Central Japan Railway Company,東海旅客鉄道株式会社,東海旅客鐵道,高,日本漢字商號直接沿用；台媒多簡稱JR東海,,73
日股,4543,Terumo Corporation,テルモ株式会社,泰爾茂,高,台灣衛福部食藥署、在台子公司「日商泰爾茂」皆用此譯名,,74
日股,4689,LY Corporation,LINEヤフー株式会社,LINE雅虎,高,台媒常以「LINE母公司」代稱；2023年Z Holdings與LINE、Yahoo Japan合併更名,,75
日股,5711,Mitsubishi Materials Corp.,三菱マテリアル株式会社,三菱綜合材料,高,台媒亦作「三菱材料」,76,
日股,7832,Bandai Namco Holdings Inc.,株式会社バンダイナムコホールディングス,萬代南夢宮控股,高,台灣遊戲及財經媒體慣用「萬代南夢宮」,,76
日股,6330,Toyo Engineering Corporation,東洋エンジニアリング株式会社,東洋工程,中,日文商號為片假名，台媒依英文意譯為「東洋工程」，亦有直接寫 Toyo Engineering,79,
日股,5020,"ENEOS Holdings, Inc.",ENEOSホールディングス株式会社,ENEOS,中,台灣媒體（經濟日報、科技新報、中央社）慣用英文原名ENEOS；MoneyDJ譯「引能仕控股株式會社」；前身為JXTG控股,,79
日股,4452,Kao Corporation,花王株式会社,花王,高,日本漢字商號直接沿用,,80
日股,8830,"Sumitomo Realty & Development Co., Ltd.",住友不動産株式会社,住友不動產,高,鉅亨網作「住友不動產」,,84
日股,7272,"Yamaha Motor Co., Ltd.",ヤマハ発動機株式会社,山葉發動機,高,鉅亨網作「山葉發動機」，台媒亦寫 Yamaha 發動機,85,
日股,1925,"Daiwa House Industry Co., Ltd.",大和ハウス工業株式会社,大和房屋工業,高,公司官方中文名即「大和房屋工業株式會社」；鉅亨網另作「大和家居工業」,,86
日股,4307,"Nomura Research Institute,Ltd.",株式会社野村総合研究所,野村綜合研究所,高,台媒亦常用簡稱 NRI,88,91
日股,9766,KONAMI Group Corporation,コナミグループ株式会社,科樂美,中,鉅亨網作「科樂美(株)」；MoneyDJ與多數台灣遊戲／科技媒體直接寫KONAMI,,88
日股,6594,Nidec Corporation,ニデック株式会社,日本電產,高,2023年4月日文商號改為「ニデック（Nidec）」，但鉅亨網、科技新報等台媒仍慣用「日本電產」；官方中文另作「尼得科」,,89
日股,6361,Ebara Corporation,株式会社荏原製作所,荏原製作所,高,,90,
日股,8473,SBI Holdings Incorporated,株式会社SBIホールディングス,SBI控股,高,鉅亨網作「SBI控股株式會社」,92,
日股,9735,"Secom Co., Ltd.",セコム株式会社,西科姆,高,鉅亨網作「西科姆安防集團」,,92
日股,3659,"NEXON Co., Ltd.",株式会社ネクソン,NEXON,中,台媒直接寫 NEXON（韓資、日本上市遊戲商，楓之谷、天堂M等）,94,
日股,6963,ROHM Company Limited,ローム株式会社,羅姆半導體,高,鉅亨網作「羅姆半導體株式會社」，亦簡稱「羅姆」,95,
日股,3110,"Nitto Boseki Co., Ltd.",日東紡績株式会社,日東紡績,高,日文通稱「日東紡」，玻璃纖維布（BT材料）供應商,96,
日股,4612,"Nippon Paint Holdings Co., Ltd.",日本ペイントホールディングス株式会社,立邦塗料,中,MoneyDJ、經濟日報報導慣用「立邦」／「立邦塗料」；鉅亨網個股頁作「日本塗料株式會社」，正式譯名為日本塗料控股,,96
日股,6506,Yaskawa Electric Corporation,株式会社安川電機,安川電機,高,,97,
日股,7201,"Nissan Motor Co., Ltd.",日産自動車株式会社,日產汽車,高,,98,
日股,4507,"Shionogi & Co., Ltd.",塩野義製薬株式会社,鹽野義製藥,高,鉅亨網、聯合新聞網、MoneyDJ一致用「鹽野義」,,98
日股,581A,GO Inc.,GO株式会社,GO,高,日本最大叫車App業者，2026年於東證上市；台媒無中譯，直接寫「叫車App GO」,99,
日股,7532,Pan Pacific International Holdings Corporation,株式会社パン・パシフィック・インターナショナルホールディングス,泛太平洋國際控股,中,台媒多以「唐吉訶德母公司PPIH」稱之（經濟日報）；鉅亨網個股頁仍用舊名「唐吉訶德株式會社」,,100
韓股,034220,"LG Display Co., Ltd",LG디스플레이,樂金顯示,高,台灣財經媒體慣用譯名，亦常直接寫LG Display,1,
韓股,005930,"Samsung Electronics Co., Ltd.",삼성전자,三星電子,高,,,1
韓股,032940,Wonik Corporation,원익,元益,中,依漢字語還原（원익=元益），原익集團母公司；漢字未見官方標示,2,
韓股,000660,SK hynix Inc.,SK하이닉스,SK海力士,高,,,2
韓股,067290,JW Shinyak Corp.,JW신약,JW新藥,中,依漢字語還原（신약=新藥），JW中外製藥集團旗下,3,
韓股,402340,"SK Square Co., Ltd.",SK스퀘어,SK Square,高,台灣媒體（工商時報等）直接用英文原名，未見通用中譯；為SK海力士母公司,,3
韓股,024840,"KBI METAL Co., Ltd.",KBI메탈,KBI Metal,中,無中文譯名，沿用英文（메탈為外來語metal）,4,
韓股,009150,"Samsung Electro-Mechanics Co., Ltd",삼성전기,三星電機,高,MLCC大廠，工商時報／科技新報均用此名,,4
韓股,004770,Sunny Electronics Corporation,써니전자,Sunny電子,中,「써니」為外來語Sunny，「전자」依漢字語還原為電子,5,
韓股,005380,Hyundai Motor Company,현대자동차,現代汽車,高,,,5
韓股,004310,"Hyundai Pharmaceutical Co., Ltd.",현대약품,現代藥品,中,依漢字語還原（현대약품=現代藥品），與現代汽車集團無關,6,
韓股,373220,LG Energy Solution Ltd.,LG에너지솔루션,LG新能源,中,鉅亨網現多用「LG新能源」，早期IPO時亦寫「LG能源解決方案」,,6
韓股,033790,FINO INC.,피노,Fino,中,無中文譯名，沿用英文；原名서화정보통신，現為中國中偉股份(CNGR)子公司,7,
韓股,207940,"SAMSUNG BIOLOGICS Co., Ltd.",삼성바이오로직스,三星生物製劑,高,亦簡稱「三星生物」,,7
韓股,417010,"NanoTIM Co., Ltd.",나노팀,NanoTIM,中,無中文譯名，沿用英文,8,
韓股,012450,"Hanwha Aerospace Co., Ltd.",한화에어로스페이스,韓華航太,高,中時、中央廣播電台用「韓華航太」；MoneyDJ作「韓華航空航太」,,8
韓股,088350,"HANWHA LIFE INSURANCE Co., Ltd.",한화생명,韓華人壽,高,台灣財經媒體慣用譯名,9,
韓股,028260,SAMSUNG C&T CORP,삼성물산,三星物產,高,在台子公司名為「台灣國際三星物產」,,9
韓股,443670,SPSoft Inc.,에스피소프트,SPSoft,中,無中文譯名，沿用英文,10,
韓股,105560,KB Financial Group Inc.,KB금융지주,KB金融集團,高,旗下為韓國國民銀行(KB Kookmin Bank),,10
韓股,299660,"Cellid Co., Ltd.",셀리드,Cellid,中,無中文譯名，沿用英文,11,
韓股,034020,"Doosan Enerbility Co., Ltd.",두산에너빌리티,斗山能源,高,科技新報用「斗山能源」；舊稱斗山重工業,,11
韓股,256840,BNC KOREA. Inc.,한국비엔씨,韓國BNC,中,韓文原名「한국비엔씨」即Korea BNC，한국依漢字語還原為韓國,12,
韓股,032830,"Samsung Life Insurance Co., Ltd.",삼성생명보험,三星生命保險,高,亦簡稱「三星生命」,,12
韓股,079650,Seosan Corporation,서산,瑞山,中,依漢字語還原，漢字推定為瑞山（公司未標示官方漢字）；業務為預拌混凝土與電動車充電,13,
韓股,055550,"Shinhan Financial Group Co., Ltd.",신한금융지주회사,新韓金融集團,高,旗下為新韓銀行,,13
韓股,332570,"Pentastone Electronics, Inc.",PS일렉트로닉스,PS Electronics,中,無中文譯名，沿用英文；現行韓文股票名為PS일렉트로닉스（피에스일렉트로닉스）,14,
韓股,000270,Kia Corporation,기아,起亞汽車,高,台灣車界多直接寫Kia；舊名기아자동차,,14
韓股,073240,"Kumho Tire Co., Inc.",금호타이어,錦湖輪胎,高,台灣財經媒體慣用譯名,15,
韓股,329180,"HD Hyundai Heavy Industries Co., Ltd.",HD현대중공업,HD現代重工業,高,大紀元等中文媒體用「HD現代重工業」,,15
韓股,041190,"Woori Technology Investment Co., Ltd.",우리기술투자,友利技術投資,中,「우리」為韓語固有語（意為「我們」）無漢字，依Woori慣用音譯「友利」；기술투자=技術投資,16,
韓股,006400,"Samsung SDI Co., Ltd",삼성SDI,三星SDI,高,,,16
韓股,0220W0,"Hanwha Machinery & Service Holdings Co., Ltd.",한화머시너리앤서비스홀딩스,韓華機械服務控股,中,「한화」沿用韓華集團既有譯名，其餘依英文意譯；2026年由(株)韓華分割上市,17,
韓股,068270,"Celltrion, Inc.",셀트리온,賽特瑞恩,高,中央社、工商時報用「賽特瑞恩」；亦常直接寫Celltrion,,17
韓股,328130,Lunit Inc.,루닛,Lunit,高,台灣媒體直接沿用英文原名,18,
韓股,012330,"Hyundai Mobis Co., Ltd",현대모비스,現代摩比斯,高,,,18
韓股,069540,LIGHTRON FIBER-OPTIC DEVICES INC.,빛과전자,光與電子,中,韓文原名「빛과전자」意為「光與電子」（빛=光為固有語），英文名Lightron,19,
韓股,086790,Hana Financial Group Inc.,하나금융지주,韓亞金融集團,高,旗下韓亞銀行已在台設分行（鉅亨網）,,19
韓股,085660,"CHA Biotech Co., Ltd.",차바이오텍,車生物科技,中,「차」為創辦人姓氏車(車)，바이오텍為外來語biotech；亦常寫CHA Biotech,20,
韓股,066570,LG Electronics Inc.,LG전자,LG電子,高,在台法人名為「台灣樂金電器」,,20
韓股,0039P0,"MadUp, Inc.",매드업,MadUp,中,無中文譯名，沿用英文；2026年7月新上市,21,
韓股,035420,NAVER Corp.,네이버,NAVER,高,台灣媒體慣用英文原名NAVER／Naver,,21
韓股,187660,Penetrium Bioscience Inc.,페니트리움바이오사이언스,Penetrium Bioscience,中,無中文譯名，沿用英文；2026年由현대ADM（現代ADM）更名,22,
韓股,010120,"LS Electric Co., Ltd.",LS일렉트릭,LS電氣,中,大紀元、台灣子公司均用「LS電氣」；舊稱LS產電,,22
韓股,900300,Organic Tea Cosmetics Holdings Co. Ltd.,오가닉티코스메틱,有機茶化妝品控股,中,在韓上市之中國（香港控股）企業，依英文名意譯,23,
韓股,034730,SK Inc.,SK주식회사,SK,中,SK集團控股公司，台媒多寫「SK集團」或直接用SK Inc.,,23
韓股,293490,Kakao Games Corp.,카카오게임즈,Kakao Games,高,台灣媒體慣用直接沿用英文原名,24,
韓股,298040,Hyosung Heavy Industries Corp.,효성중공업,曉星重工,高,聯合新聞網、獨家報導用「曉星重工」,,24
韓股,365550,"ESR Kendall Square REIT Co., Ltd.",ESR켄달스퀘어리츠,ESR Kendall Square REIT,中,無中文譯名，沿用英文；리츠=REIT不動產投資信託,25,
韓股,267260,HD Hyundai Electric,HD현대일렉트릭,HD現代電氣,中,韓文為外來語音譯，中文媒體多寫「HD現代電氣」或保留英文,,25
韓股,079160,"CJ CGV Co., Ltd",CJ CGV（씨제이씨지브이）,CJ CGV,高,台灣媒體慣用直接沿用英文原名,26,
韓股,010130,"Korea Zinc Co., Ltd.",고려아연,高麗鋅,高,,,26
韓股,025980,Ananti Inc.,아난티,Ananti,中,無中文譯名，沿用英文,27,
韓股,042660,"Hanwha Ocean Co., Ltd.",한화오션,韓華海洋,高,原大宇造船海洋，2023年改名,,27
韓股,228340,TONGYANG PILE Inc.,동양파일,東洋Pile,中,「동양」依漢字語還原為東洋，「파일」為外來語pile（混凝土基樁），無中文譯名故保留,28,
韓股,000810,"Samsung Fire & Marine Insurance Co., Ltd",삼성화재해상보험,三星火災海上保險,高,亦簡稱「三星火災」,,28
韓股,330350,"WITHUS PHARMACEUTICAL Co., Ltd.",위더스제약,Withus製藥,中,「위더스」為外來語Withus，「제약」依漢字語還原為製藥,29,
韓股,009540,HD KOREA SHIPBUILDING & OFFSHORE ENGINEERING CO. LTD.,HD한국조선해양,HD韓國造船海洋,高,亦簡稱「韓國造船海洋」,,29
韓股,028670,"Pan Ocean Co., Ltd.",팬오션,泛洋海運,高,台灣財經媒體慣用譯名,30,
韓股,005490,POSCO Holdings Inc.,POSCO홀딩스,浦項鋼鐵控股,高,鉅亨網美股頁面即用此名；亦作POSCO控股,,30
韓股,226340,"Bonne Co., Ltd.",본느,Bonne,中,無中文譯名，沿用英文（法語外來語）,31,
韓股,316140,"Woori Financial Group, Inc.",우리금융지주,友利金融集團,高,MoneyDJ用「友利金融集團」,,31
韓股,288980,"Moadata Co., Ltd",모아데이타,Moadata,中,無中文譯名，沿用英文,32,
韓股,196170,ALTEOGEN Inc.,알테오젠,Alteogen,中,台灣生技媒體（GeneOnline等）直接用英文，尚無通用中譯,,32
韓股,091590,"NAM HWA CONSTRUCTION Co., Ltd.",남화토건,南華土建,中,依漢字語還原（남화토건=南華土建）,33,
韓股,015760,Korea Electric Power Corporation,한국전력공사,韓國電力公社,高,簡稱韓電／KEPCO,,33
韓股,054940,EXA E & C Inc.,엑사이엔씨,EXA E&C,中,無中文譯名，沿用英文,34,
韓股,042700,"Hanmi Semiconductor Co., Ltd",한미반도체,韓美半導體,高,鉅亨網用「韓美半導體」；HBM鍵合機大廠,,34
韓股,144960,"New Power Plasma Co., Ltd.",뉴파워프라즈마,New Power Plasma,中,無中文譯名，沿用英文,35,
韓股,017670,"SK Telecom Co., Ltd.",SK텔레콤,SK電訊,高,,,35
韓股,358570,"GI Innovation, Inc.",지아이이노베이션,GI Innovation,中,無中文譯名，沿用英文,36,
韓股,051910,LG Chem Ltd.,LG화학,LG化學,高,在台法人名為「台灣樂金化學」,,36
韓股,020120,"KidariStudio, Inc.",키다리스튜디오,Kidari Studio,中,無中文譯名，沿用英文；「키다리」為固有語（意為長腿／高個子）無漢字,37,
韓股,011200,"HMM CO.,LTD",HMM,HMM,高,台灣媒體慣用英文HMM；舊稱現代商船，維基作韓新遠洋船務,,37
韓股,413630,"CP System Co., Ltd",씨피시스템,CP System,中,無中文譯名，沿用英文,38,
韓股,138040,Meritz Financial Group Inc.,메리츠금융지주,美瑞茲金融集團,中,MoneyDJ譯名；台灣新聞多直接寫Meritz,,38
韓股,014950,"Samik Pharm Co., Ltd.",삼익제약,三益製藥,中,依漢字語還原（삼익제약=三益製藥）,39,
韓股,096770,"SK Innovation Co., Ltd",SK이노베이션,SK創新,高,自由財經、鉅亨網用「SK創新」,,39
韓股,064260,"Danal Co., Ltd",다날,Danal,中,無中文譯名，沿用英文,40,
韓股,018260,"SAMSUNG SDS CO., LTD.",삼성에스디에스,三星SDS,高,,,40
韓股,001510,"SK Securities Co., Ltd.",SK증권,SK證券,高,台灣財經媒體慣用譯名,41,
韓股,000150,Doosan Corporation,두산,斗山,中,斗山集團控股母公司，台媒多寫「斗山」或「斗山集團」,,41
韓股,062970,"KOREA ADVANCED MATERIALS Co.,Ltd.",한국첨단소재,韓國尖端素材,中,依漢字語還原（한국첨단소재=韓國尖端素材）,42,
