清單,排名,股票代號,英文名稱,原文名稱,中文名稱,信心,備註
日股成交值排行,87,8801,"Mitsui Fudosan Co., Ltd.",三井不動産株式会社,三井不動產,高,
日股成交值排行,88,4307,"Nomura Research Institute,Ltd.",株式会社野村総合研究所,野村綜合研究所,高,台媒亦常用簡稱 NRI
日股成交值排行,89,6902,DENSO CORPORATION,株式会社デンソー,電裝,高,鉅亨網作「電裝公司」；台灣子公司名為「台灣電綜」
日股成交值排行,90,6361,Ebara Corporation,株式会社荏原製作所,荏原製作所,高,
日股成交值排行,91,8015,Toyota Tsusho Corp.,豊田通商株式会社,豐田通商,高,
日股成交值排行,92,8473,SBI Holdings Incorporated,株式会社SBIホールディングス,SBI控股,高,鉅亨網作「SBI控股株式會社」
日股成交值排行,93,4578,"Otsuka Holdings Co., Ltd.",大塚ホールディングス株式会社,大塚控股,高,
日股成交值排行,94,3659,"NEXON Co., Ltd.",株式会社ネクソン,NEXON,中,台媒直接寫 NEXON（韓資、日本上市遊戲商，楓之谷、天堂M等）
日股成交值排行,95,6963,ROHM Company Limited,ローム株式会社,羅姆半導體,高,鉅亨網作「羅姆半導體株式會社」，亦簡稱「羅姆」
日股成交值排行,96,3110,"Nitto Boseki Co., Ltd.",日東紡績株式会社,日東紡績,高,日文通稱「日東紡」，玻璃纖維布（BT材料）供應商
日股成交值排行,97,6506,Yaskawa Electric Corporation,株式会社安川電機,安川電機,高,
日股成交值排行,98,7201,"Nissan Motor Co., Ltd.",日産自動車株式会社,日產汽車,高,
日股成交值排行,99,581A,GO Inc.,GO株式会社,GO,高,日本最大叫車App業者，2026年於東證上市；台媒無中譯，直接寫「叫車App GO」
日股成交值排行,100,6971,Kyocera Corporation,京セラ株式会社,京瓷,高,鉅亨網作「京瓷株式會社」
韓股成交值排行,1,034220,"LG Display Co., Ltd",LG디스플레이,樂金顯示,高,台灣財經媒體慣用譯名，亦常直接寫LG Display
韓股成交值排行,2,032940,Wonik Corporation,원익,元益,中,依漢字語還原（원익=元益），原익集團母公司；漢字未見官方標示
韓股成交值排行,3,067290,JW Shinyak Corp.,JW신약,JW新藥,中,依漢字語還原（신약=新藥），JW中外製藥集團旗下
韓股成交值排行,4,024840,"KBI METAL Co., Ltd.",KBI메탈,KBI Metal,中,無中文譯名，沿用英文（메탈為外來語metal）
韓股成交值排行,5,004770,Sunny Electronics Corporation,써니전자,Sunny電子,中,「써니」為外來語Sunny，「전자」依漢字語還原為電子
韓股成交值排行,6,004310,"Hyundai Pharmaceutical Co., Ltd.",현대약품,現代藥品,中,依漢字語還原（현대약품=現代藥品），與現代汽車集團無關
韓股成交值排行,7,033790,FINO INC.,피노,Fino,中,無中文譯名，沿用英文；原名서화정보통신，現為中國中偉股份(CNGR)子公司
韓股成交值排行,8,417010,"NanoTIM Co., Ltd.",나노팀,NanoTIM,中,無中文譯名，沿用英文
韓股成交值排行,9,088350,"HANWHA LIFE INSURANCE Co., Ltd.",한화생명,韓華人壽,高,台灣財經媒體慣用譯名
韓股成交值排行,10,443670,SPSoft Inc.,에스피소프트,SPSoft,中,無中文譯名，沿用英文
韓股成交值排行,11,299660,"Cellid Co., Ltd.",셀리드,Cellid,中,無中文譯名，沿用英文
韓股成交值排行,12,256840,BNC KOREA. Inc.,한국비엔씨,韓國BNC,中,韓文原名「한국비엔씨」即Korea BNC，한국依漢字語還原為韓國
韓股成交值排行,13,079650,Seosan Corporation,서산,瑞山,中,依漢字語還原，漢字推定為瑞山（公司未標示官方漢字）；業務為預拌混凝土與電動車充電
韓股成交值排行,14,332570,"Pentastone Electronics, Inc.",PS일렉트로닉스,PS Electronics,中,無中文譯名，沿用英文；現行韓文股票名為PS일렉트로닉스（피에스일렉트로닉스）
韓股成交值排行,15,073240,"Kumho Tire Co., Inc.",금호타이어,錦湖輪胎,高,台灣財經媒體慣用譯名
韓股成交值排行,16,041190,"Woori Technology Investment Co., Ltd.",우리기술투자,友利技術投資,中,「우리」為韓語固有語（意為「我們」）無漢字，依Woori慣用音譯「友利」；기술투자=技術投資
韓股成交值排行,17,0220W0,"Hanwha Machinery & Service Holdings Co., Ltd.",한화머시너리앤서비스홀딩스,韓華機械服務控股,中,「한화」沿用韓華集團既有譯名，其餘依英文意譯；2026年由(株)韓華分割上市
韓股成交值排行,18,328130,Lunit Inc.,루닛,Lunit,高,台灣媒體直接沿用英文原名
韓股成交值排行,19,069540,LIGHTRON FIBER-OPTIC DEVICES INC.,빛과전자,光與電子,中,韓文原名「빛과전자」意為「光與電子」（빛=光為固有語），英文名Lightron
韓股成交值排行,20,085660,"CHA Biotech Co., Ltd.",차바이오텍,車生物科技,中,「차」為創辦人姓氏車(車)，바이오텍為外來語biotech；亦常寫CHA Biotech
韓股成交值排行,21,0039P0,"MadUp, Inc.",매드업,MadUp,中,無中文譯名，沿用英文；2026年7月新上市
韓股成交值排行,22,187660,Penetrium Bioscience Inc.,페니트리움바이오사이언스,Penetrium Bioscience,中,無中文譯名，沿用英文；2026年由현대ADM（現代ADM）更名
韓股成交值排行,23,900300,Organic Tea Cosmetics Holdings Co. Ltd.,오가닉티코스메틱,有機茶化妝品控股,中,在韓上市之中國（香港控股）企業，依英文名意譯
韓股成交值排行,24,293490,Kakao Games Corp.,카카오게임즈,Kakao Games,高,台灣媒體慣用直接沿用英文原名
韓股成交值排行,25,365550,"ESR Kendall Square REIT Co., Ltd.",ESR켄달스퀘어리츠,ESR Kendall Square REIT,中,無中文譯名，沿用英文；리츠=REIT不動產投資信託
韓股成交值排行,26,079160,"CJ CGV Co., Ltd",CJ CGV（씨제이씨지브이）,CJ CGV,高,台灣媒體慣用直接沿用英文原名
韓股成交值排行,27,025980,Ananti Inc.,아난티,Ananti,中,無中文譯名，沿用英文
韓股成交值排行,28,228340,TONGYANG PILE Inc.,동양파일,東洋Pile,中,「동양」依漢字語還原為東洋，「파일」為外來語pile（混凝土基樁），無中文譯名故保留
韓股成交值排行,29,330350,"WITHUS PHARMACEUTICAL Co., Ltd.",위더스제약,Withus製藥,中,「위더스」為外來語Withus，「제약」依漢字語還原為製藥
韓股成交值排行,30,028670,"Pan Ocean Co., Ltd.",팬오션,泛洋海運,高,台灣財經媒體慣用譯名
韓股成交值排行,31,226340,"Bonne Co., Ltd.",본느,Bonne,中,無中文譯名，沿用英文（法語外來語）
韓股成交值排行,32,288980,"Moadata Co., Ltd",모아데이타,Moadata,中,無中文譯名，沿用英文
韓股成交值排行,33,091590,"NAM HWA CONSTRUCTION Co., Ltd.",남화토건,南華土建,中,依漢字語還原（남화토건=南華土建）
韓股成交值排行,34,054940,EXA E & C Inc.,엑사이엔씨,EXA E&C,中,無中文譯名，沿用英文
韓股成交值排行,35,144960,"New Power Plasma Co., Ltd.",뉴파워프라즈마,New Power Plasma,中,無中文譯名，沿用英文
韓股成交值排行,36,358570,"GI Innovation, Inc.",지아이이노베이션,GI Innovation,中,無中文譯名，沿用英文
韓股成交值排行,37,020120,"KidariStudio, Inc.",키다리스튜디오,Kidari Studio,中,無中文譯名，沿用英文；「키다리」為固有語（意為長腿／高個子）無漢字
韓股成交值排行,38,413630,"CP System Co., Ltd",씨피시스템,CP System,中,無中文譯名，沿用英文
韓股成交值排行,39,014950,"Samik Pharm Co., Ltd.",삼익제약,三益製藥,中,依漢字語還原（삼익제약=三益製藥）
韓股成交值排行,40,064260,"Danal Co., Ltd",다날,Danal,中,無中文譯名，沿用英文
韓股成交值排行,41,001510,"SK Securities Co., Ltd.",SK증권,SK證券,高,台灣財經媒體慣用譯名
韓股成交值排行,42,062970,"KOREA ADVANCED MATERIALS Co.,Ltd.",한국첨단소재,韓國尖端素材,中,依漢字語還原（한국첨단소재=韓國尖端素材）
韓股成交值排行,43,003280,"Heung-A Shipping Co., Ltd",흥아해운,興亞海運,中,依漢字語還原（흥아해운=興亞海運）
韓股成交值排行,44,134580,Topco Media Co.Ltd.,탑코미디어,Topco Media,中,無中文譯名，沿用英文；旗下為웹툰平台탑툰(Toptoon)
韓股成交值排行,45,204620,"Global Tax Free Co., Ltd.",글로벌텍스프리,Global Tax Free,中,無中文譯名，沿用英文
韓股成交值排行,46,302430,"Innometry Co., Ltd.",이노메트리,Innometry,中,無中文譯名，沿用英文
韓股成交值排行,47,000370,"Hanwha General Insurance Co., Ltd",한화손해보험,韓華損害保險,高,台灣財經媒體慣用譯名，亦作韓華產險
韓股成交值排行,48,003530,HANWHA INVESTMENT&SECURITIES Co. Ltd.,한화투자증권,韓華投資證券,高,台灣財經媒體慣用譯名
韓股成交值排行,49,487400,"KNS, Inc.",케이앤에스아이앤씨,KNS I&C,中,無中文譯名，沿用英文；2026年8月新上市，衛星通訊天線廠
韓股成交值排行,50,225190,LK SAMYANG CO. LTD,엘케이삼양,LK三養,中,「삼양」依漢字語還原為三養；原名삼양옵틱스（三養光學）
韓股成交值排行,51,001740,"SK Networks Co., Ltd.",SK네트웍스,SK網絡,高,台灣財經媒體慣用譯名
韓股成交值排行,52,137310,"SD Biosensor, Inc.",에스디바이오센서,SD Biosensor,高,台媒直接沿用英文原名
韓股成交值排行,53,036540,"SFA Semicon Co., Ltd.",SFA반도체,SFA半導體,中,依漢字語還原（반도체＝半導體）
韓股成交值排行,54,465770,STX Green Logis Ltd,STX그린로지스,STX Green Logis,中,無中文譯名，沿用英文
韓股成交值排行,55,198440,KANGDONG C&L co. Ltd,강동씨앤엘,江東C&L,中,依漢字語還原；前身為고려시멘트（高麗水泥）
韓股成交值排行,56,018880,Hanon Systems,한온시스템,翰昂系統,高,台灣財經媒體慣用譯名
韓股成交值排行,57,108230,Toptec Corp.,톱텍,Toptec,中,無中文譯名，沿用英文
韓股成交值排行,58,462860,Dozn Inc.,더즌,Dozn,中,無中文譯名，沿用英文
韓股成交值排行,59,064550,Bioneer Corporation,바이오니아,Bioneer,中,無中文譯名，沿用英文
韓股成交值排行,60,215600,"SillaJen, Inc.",신라젠,SillaJen,中,無中文譯名，沿用英文（신라＝新羅）
韓股成交值排行,61,126640,"Hwashin Precision Co., Ltd",화신정공,華信精工,中,依漢字語還原
韓股成交值排行,62,101360,"Eco&Dream Co., Ltd.",에코앤드림,Eco&Dream,中,無中文譯名，沿用英文
韓股成交值排行,63,017900,AUK CORP.,광전자,光電子,中,依漢字語還原
韓股成交值排行,64,090710,"Hyulim ROBOT Co., Ltd.",휴림로봇,Hyulim Robot,中,휴림查無對應漢字，沿用英文
韓股成交值排行,65,048410,HYUNDAI BIOSCIENCE CO. LTD.,현대바이오사이언스,現代Bioscience,中,依漢字語還原（현대＝現代），後段為外來語
韓股成交值排行,66,351320,Nexa Dynamics Co. Ltd.,넥사다이내믹스,Nexa Dynamics,中,無中文譯名，沿用英文；前身에스에이티이엔지（SAT ENG）
韓股成交值排行,67,027360,"AJU IB INVESTMENT CO., LTD.",아주IB투자,亞洲IB投資,中,依漢字語還原（아주＝亞洲、투자＝投資）
韓股成交值排行,68,382800,"GnBS eco Co.,Ltd",지앤비에스 에코,GnBS eco,中,無中文譯名，沿用英文
韓股成交值排行,69,047770,"Codes Combine Co., Ltd",코데즈컴바인,Codes Combine,中,無中文譯名，沿用英文
韓股成交值排行,70,388050,G2Power Co. Ltd,지투파워,G2Power,中,無中文譯名，沿用英文
韓股成交值排行,71,006910,"Bosung Power Technology Co., Ltd.",보성파워텍,寶城Powertec,中,보성依漢字語還原為寶城，後段為外來語
韓股成交值排行,72,223310,Satoshi Holdings Co. Ltd.,사토시홀딩스,Satoshi Holdings,中,無中文譯名，沿用英文
韓股成交值排行,73,253840,"Sugentech, Inc.",수젠텍,Sugentech,中,無中文譯名，沿用英文
韓股成交值排行,74,222040,COSMAX NBT INC.,코스맥스엔비티,科絲美詩NBT,中,COSMAX集團中文名為科絲美詩
韓股成交值排行,75,050890,SOLiD Inc.,쏠리드,SOLiD,中,無中文譯名，沿用英文
韓股成交值排行,76,058730,"Development Advance Solution Co., Ltd",다스코,DASCO,中,韓文社名為다스코（DASCO），無中文譯名，沿用英文
韓股成交值排行,77,077500,Uniquest Corporation,유니퀘스트,Uniquest,中,無中文譯名，沿用英文
韓股成交值排行,78,046970,"WOORIRO CO., LTD.",우리로,Wooriro,中,우리為固有語無漢字，沿用英文
韓股成交值排行,79,005880,Korea Line Corporation,대한해운,大韓海運,高,台灣財經媒體慣用譯名
韓股成交值排行,80,222080,"SFA NEXEL Co., Ltd.",SFA넥셀,SFA Nexel,中,無中文譯名，沿用英文
韓股成交值排行,81,121850,"KOYJ CO., LTD.",코이즈,KOYJ,中,無中文譯名，沿用英文
韓股成交值排行,82,018000,Unison Co Ltd,유니슨,Unison,中,無中文譯名，沿用英文
韓股成交值排行,83,243840,"SHIN HEUNG ENERGY & ELECTRONICS Co., Ltd.",신흥에스이씨,新興SEC,中,依漢字語還原
韓股成交值排行,84,142280,GC Medical Science Corporation,녹십자엠에스,綠十字MS,中,依漢字語還原（녹십자＝綠十字）
韓股成交值排行,85,072770,MemRAY BT Co. LTD.,멤레이비티,MemRAY BT,中,無中文譯名，沿用英文；前身為율호
韓股成交值排行,86,042510,"RaonSecure Co., Ltd.",라온시큐어,RaonSecure,中,라온為固有語無漢字，沿用英文
韓股成交值排行,87,032580,"Fidelix Co., Ltd",피델릭스,Fidelix,中,無中文譯名，沿用英文
韓股成交值排行,88,393890,"W-SCOPE CHUNGJU PLANT Co., Ltd.",더블유씨피,WCP,中,韓文社名為더블유씨피（WCP），沿用英文；忠州廠
韓股成交值排行,89,025860,Namhae Chemical Corporation,남해화학,南海化學,中,依漢字語還原
韓股成交值排行,90,192650,"Dreamtech Co., Ltd.",드림텍,Dreamtech,中,無中文譯名，沿用英文
韓股成交值排行,91,192410,ONEUL E&M co.Ltd.,오늘이엔엠,ONEUL E&M,中,오늘為固有語無漢字，沿用英文；前身휴림네트웍스
韓股成交值排行,92,483350,Dealicious Inc.,딜리셔스,Dealicious,中,無中文譯名，沿用英文
韓股成交值排行,93,365660,Lemon Healthcare Co.,레몬헬스케어,Lemon Healthcare,中,無中文譯名，沿用英文
韓股成交值排行,94,441270,"Fine M-Tec Co.,Ltd.",파인엠텍,Fine M-Tec,中,無中文譯名，沿用英文
韓股成交值排行,95,265740,NFC Corporation,엔에프씨,NFC,中,無中文譯名，沿用英文
韓股成交值排行,96,094480,GalaxiaMoneytree Co. Ltd,갤럭시아머니트리,GalaxiaMoneytree,中,無中文譯名，沿用英文
韓股成交值排行,97,289080,SV INVESTMENT Corp.,SV인베스트먼트,SV Investment,中,無中文譯名，沿用英文
韓股成交值排行,98,038500,SAMPYO Cement Co. Ltd.,삼표시멘트,三表水泥,高,台灣財經媒體慣用譯名（삼표＝三表）
韓股成交值排行,99,279570,"K Bank Co., Ltd.",케이뱅크,K Bank,高,台媒多沿用英文原名K Bank（韓國網路銀行）
韓股成交值排行,100,031330,"SAMT Co., Ltd.",에스에이엠티,SAMT,中,無中文譯名，沿用英文
韓股市值前50（補充）,1,005930,"Samsung Electronics Co., Ltd.",삼성전자,三星電子,高,
韓股市值前50（補充）,2,000660,SK hynix Inc.,SK하이닉스,SK海力士,高,
韓股市值前50（補充）,3,402340,"SK Square Co., Ltd.",SK스퀘어,SK Square,高,台灣媒體（工商時報等）直接用英文原名，未見通用中譯；為SK海力士母公司
